[Thu May 17 18:44:01.376635 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /var/www/blog/storage/framework/views/da70819f24f6bd819ef443bdd218bcd0c1e5b879.php on line 14, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376680 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP Stack trace:, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376695 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   1. {main}() /var/www/blog/public/index.php:0, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376705 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /var/www/blog/public/index.php:54, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376715 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376725 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376734 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376743 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   6. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376763 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   7. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376769 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376777 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP   9. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376786 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376793 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376801 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  12. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376809 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  13. Illuminate\\Foundation\\Http\\Middleware\\TransformsRequest->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376830 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  14. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376854 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  15. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376868 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  16. Illuminate\\Foundation\\Http\\Middleware\\TransformsRequest->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376877 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  17. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376885 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  18. Illuminate\\Foundation\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376924 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  19. Illuminate\\Routing\\Router->dispatch() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376950 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  20. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:511, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376960 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  21. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:533, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376969 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  22. Illuminate\\Pipeline\\Pipeline->then() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:574, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.376978 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377000 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  24. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377008 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  25. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377016 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  26. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377023 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  27. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377030 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377038 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377050 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  30. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377058 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  31. Illuminate\\Session\\Middleware\\StartSession->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377065 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  32. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377072 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  33. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377079 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  34. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377086 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  35. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377093 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377101 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  37. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377108 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  38. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:65, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377115 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  39. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377122 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  40. Illuminate\\Auth\\Middleware\\Authenticate->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377129 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  41. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377137 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  42. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377144 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  43. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377151 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377162 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  45. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377169 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  46. Illuminate\\Routing\\Router->prepareResponse() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:573, referer: http://blog.demo/public/login
[Thu May 17 18:44:01.377176 2018] [:error] [pid 24231] [client 127.0.0.1:35200] PHP  47. Symfony\\Component\\HttpFoundation\\Response->__construct() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:615, referer: http://blog.demo/public/login
